"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Henry County","AL","20.8","21.2","5.5","16.6","80.1","1034","2754","-2.4","293","0.3","0.7","27.3","2.6","0.0","1.2","70.4","68.4","77.7","7001","8961","97000","2.44","4.6","41650","21924","14.4","17","2.9","561.75","5.0","91.9","4258","26.0","51.8","1497","17302","17190","-0.6","30.8","74","0","925","5559","0.0","0.0","0.0","0.0","0.0","1091","18.2"
"Houston County","AL","16.1","23.7","6.2","19.7","83.9","6819","43139","0.5","2702","0.5","0.9","26.7","3.3","0.1","1.8","70.0","67.3","64.6","39250","46442","122300","2.58","14.6","40948","23316","18.0","311","2.4","579.82","4.4","86.3","13106","20.8","52.1","9254","101547","104193","2.6","175.1","1772","0","19096","19608","0.0","1.4","12.1","1.3","0.0","10151","25.5"
"Jackson County","AL","18.6","21.7","5.4","13.0","74.6","3098","12440","4.2","856","1.6","0.5","3.6","2.9","0.1","2.6","91.5","89.4","75.2","20765","24755","93400","2.53","6.9","37634","20486","16.0","39","2.2","1077.87","3.4","91.2","15253","26.4","50.7","4000","53227","52665","-1.1","49.4","393","0","4109","7784","4.3","0.0","0.0","0.0","0.0","4337","26.8"
"Jefferson County","AL","14.3","23.1","6.6","30.0","87.4","44987","319199","2.0","16232","0.3","1.6","42.9","3.8","0.1","1.1","54.0","50.8","64.7","259634","305040","140800","2.48","24.2","45429","26906","18.0","2280","4.1","1111.28","5.9","83.8","102609","23.4","52.8","46613","658466","660793","0.4","592.5","12681","137567","110663","16730","0.4","2.4","23.4","1.3","0.0","55470","29.8"
"Lamar County","AL","20.5","21.7","5.0","9.5","76.1","932","2943","4.6","241","0.2","0.1","11.3","1.4","0.0","1.4","87.1","85.8","71.5","6084","7326","66800","2.32","9.0","36028","19026","22.3","0","0.6","604.85","1.0","87.8","2349","25.7","51.2","1127","14564","14086","-3.3","24.1","60","0","707","4887","0.0","0.0","0.0","0.0","0.0","1340","25.8"
"Lauderdale County","AL","18.2","20.5","5.2","21.1","83.8","6576","25839","3.4","1967","0.5","0.9","10.4","2.4","0.1","1.5","86.7","84.7","69.9","38458","44353","114300","2.36","15.4","42844","23510","17.2","54","2.1","667.7","3.0","86.1","10836","24.5","52.1","7000","92709","93096","0.4","138.8","1365","5145","11315","12783","0.0","0.8","5.5","0.0","0.0","8317","27.6"
"Lawrence County","AL","16.8","21.7","5.3","11.9","77.1","1990","4232","-6.3","407","5.8","0.2","11.4","2.2","0.0","4.4","78.1","76.4","80.1","13382","15171","94200","2.52","5.9","38551","20181","17.5","0","1.0","690.68","1.9","90.5","0","27.8","51.3","1891","34339","33477","-2.5","49.7","227","237","1669","4889","0.0","0.0","0.0","1.1","0.0","2289","0.0"
"Lee County","AL","10.3","21.6","5.8","32.5","86.7","9361","38782","3.4","2500","0.4","3.3","23.7","3.9","0.1","1.5","70.9","67.7","61.7","55864","65566","146900","2.49","23.8","43542","23506","22.0","943","5.1","607.54","6.9","76.4","0","21.4","50.7","10045","140247","154255","9.9","230.8","2012","0","14516","11099","0.0","2.0","16.2","0.0","0.4","10319","28.2"
"Limestone County","AL","13.8","23.4","5.9","22.7","81.5","5417","15305","1.3","1308","0.8","1.4","13.5","5.8","0.2","2.1","82.0","77.2","76.6","31794","35445","134500","2.56","8.9","48619","25020","14.7","140","4.3","559.94","6.4","88.1","9472","26.3","49.7","6964","82782","90787","9.7","147.8","681","2482","7232","9785","1.1","0.8","4.8","1.3","0.0","5914","25.8"
"Lowndes County","AL","17.4","23.1","6.7","14.4","73.9","685","1835","-1.3","98","0.3","0.2","72.9","1.2","0.0","0.8","25.8","25.3","74.9","4212","5089","71400","2.61","9.5","26230","18368","26.7","5","0.2","715.91","0.7","90.4","11568","30.4","52.3","626","11299","10580","-6.4","15.8","5","0","1036","8184","0.0","0.0","57.3","0.0","0.0","682","35.2"
